# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = GaussianStan_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = GaussianStan.data.json
# init = 2 (Default)
# random
#   seed = 2432242613 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.44568
# Diagonal elements of inverse mass matrix:
# 0.254891, 0.38534
0.381927,0.992754,0.44568,2,3,0,-0.312304,1.64108,0.549289
0.389932,0.965405,0.44568,2,3,0,0.123726,1.90268,0.482858
0.419679,0.985431,0.44568,2,3,0,-0.157892,1.75218,0.605005
0.164687,0.95296,0.44568,1,3,0,0.184041,2.00017,0.559555
0.187824,0.992815,0.44568,2,3,0,0.185164,1.84501,0.711565
-0.951471,0.657098,0.44568,2,7,0,2.85906,1.64497,1.1964
-1.69648,0.914492,0.44568,2,7,0,1.95137,1.98426,1.56071
-2.79076,0.948608,0.44568,2,7,0,2.9428,2.26541,2.19832
-2.48866,0.992622,0.44568,3,7,0,3.29819,2.6793,1.71085
-0.113766,0.430504,0.44568,3,7,0,4.15383,2.08035,0.664829
-0.46529,0.93944,0.44568,2,7,0,0.744184,1.67902,0.985563
-0.932019,0.967114,0.44568,2,3,0,1.43405,1.28926,0.582441
0.147846,0.864293,0.44568,2,3,0,1.8686,2.00302,0.530624
-0.462147,0.826055,0.44568,1,3,0,1.38743,2.17757,0.755133
-1.54951,0.883974,0.44568,3,7,0,2.15591,1.36797,1.41641
-3.11507,0.966409,0.44568,2,7,0,4.8752,3.02281,1.19067
-3.53898,0.907171,0.44568,1,1,0,3.58006,3.07033,1.08277
-2.76625,1,0.44568,3,7,0,3.81419,2.1285,2.21553
0.359644,1,0.44568,2,7,0,3.34761,1.79168,0.398222
0.291791,0.756758,0.44568,1,3,0,1.23405,1.66732,0.645851
0.00245585,0.976993,0.44568,2,3,0,0.127614,1.94372,0.75726
0.386984,0.896814,0.44568,1,3,0,0.88668,1.91003,0.503711
0.232864,0.890541,0.44568,1,3,0,0.465917,1.5751,0.527181
-0.778341,0.864387,0.44568,2,7,0,1.39276,1.82704,1.12695
0.331864,0.990479,0.44568,2,7,0,0.951096,1.904,0.604611
0.529287,0.993353,0.44568,2,3,0,-0.0978783,1.79277,0.494945
-0.154262,0.900577,0.44568,2,3,0,0.750917,1.70615,0.336358
-0.154262,2.62581e-07,0.44568,1,1,0,5.06931,1.70615,0.336358
-0.154262,0.365886,0.44568,2,3,0,2.19639,1.70615,0.336358
-1.91157,0.50723,0.44568,2,3,0,2.14786,1.60256,0.274131
-1.91157,1.55489e-07,0.44568,1,1,0,6.52151,1.60256,0.274131
-0.464828,1,0.44568,1,1,0,1.40474,1.7092,0.312162
-0.464828,0.55817,0.44568,1,1,0,1.40945,1.7092,0.312162
-0.464828,0.0852433,0.44568,1,1,0,3.89373,1.7092,0.312162
-1.64953,0.388077,0.44568,3,7,0,2.82504,2.33698,1.3827
-1.71234,0.995721,0.44568,3,7,0,1.86014,2.23589,1.48543
-0.0204716,0.999324,0.44568,3,7,0,1.8841,1.60375,0.767081
-0.251446,0.991077,0.44568,2,3,0,0.376385,1.78577,0.904103
0.519224,0.985352,0.44568,2,5,0,0.480859,1.75387,0.469753
0.246483,0.951879,0.44568,3,7,0,0.0835593,1.89192,0.410327
0.305161,1,0.44568,3,7,0,-0.219486,1.9135,0.613835
-0.181037,0.967008,0.44568,2,7,0,0.543825,2.03036,0.787853
-2.32318,0.798562,0.44568,2,5,0,3.20679,2.43212,1.7828
-1.68099,0.999515,0.44568,2,3,0,2.33848,2.28399,1.43928
-3.97119,0.924966,0.44568,3,11,0,5.29127,0.00937634,1.88254
-3.68916,0.885067,0.44568,2,7,0,4.89329,0.228556,1.48135
-4.41246,1,0.44568,3,7,0,4.5487,-0.016232,3.00845
-5.97338,0.728765,0.44568,3,15,0,6.07801,-0.237417,5.16997
-5.93212,0.995432,0.44568,3,11,0,9.43699,0.930932,5.44576
-3.95987,0.97635,0.44568,3,15,0,6.5008,1.63571,3.2409
-1.33789,0.943129,0.44568,3,7,0,4.03479,1.14308,0.726999
-0.249603,0.98331,0.44568,2,5,0,1.38288,1.66365,0.890619
-0.827726,0.980515,0.44568,2,7,0,1.03051,1.28459,0.632911
-2.41324,0.675975,0.44568,2,7,0,4.16847,1.51651,1.98845
-1.52006,0.989983,0.44568,3,7,0,2.61319,1.2061,1.2925
0.424626,0.950894,0.44568,3,7,0,2.26138,1.68667,0.449616
0.459264,0.99487,0.44568,2,3,0,-0.336411,1.83175,0.567227
-0.724933,0.786955,0.44568,1,3,0,3.35615,1.89864,1.09396
-0.512408,1,0.44568,2,3,0,0.790594,1.80426,1.01272
-0.28141,0.996323,0.44568,3,7,0,0.858668,1.42836,0.557387
-0.411372,0.940226,0.44568,2,3,0,1.12035,1.38043,0.719322
-0.449007,0.965486,0.44568,3,7,0,1.75195,2.17361,0.752771
-1.2548,0.961487,0.44568,2,3,0,1.38295,2.41208,0.822653
-0.987074,0.923321,0.44568,2,5,0,2.20651,1.25658,0.975857
-4.14651,0.83893,0.44568,3,7,0,5.03334,3.32083,1.23586
-3.91155,1,0.44568,3,7,0,4.92469,3.41785,2.40519
-7.46069,0.886873,0.44568,4,23,0,9.16607,-1.66124,6.88311
-6.82939,0.95327,0.44568,2,5,0,10.2803,-1.94689,5.46851
-6.44676,0.997073,0.44568,4,15,0,7.03997,-1.91197,3.47899
-5.87687,0.998987,0.44568,3,7,0,6.49716,-1.3957,3.65216
-5.45487,0.848694,0.44568,3,15,0,6.35276,-0.475292,4.21567
0.465489,0.994509,0.44568,3,15,0,5.33403,1.69294,0.537531
-0.263563,0.90921,0.44568,2,7,0,1.24196,1.44105,0.739281
-0.189176,0.998381,0.44568,2,7,0,0.878935,1.96139,0.382264
-1.85248,0.658308,0.44568,3,7,0,2.49743,2.00056,1.64605
